image_name,label
00000.png,1
00001.png,9
00002.png,2
00003.png,3
00004.png,2
00005.png,5
00006.png,9
00007.png,3
00008.png,3
00009.png,1
00010.png,3
00011.png,3
00012.png,2
00013.png,8
00014.png,7
00015.png,4
00016.png,4
00017.png,1
00018.png,2
00019.png,8
00020.png,1
00021.png,6
00022.png,2
00023.png,3
00024.png,6
00025.png,3
00026.png,4
00027.png,2
00028.png,5
00029.png,8
00030.png,1
00031.png,6
00032.png,2
00033.png,3
00034.png,7
00035.png,9
00036.png,5
00037.png,3
00038.png,2
00039.png,2
00040.png,2
00041.png,6
00042.png,2
00043.png,2
00044.png,5
00045.png,1
00046.png,5
00047.png,4
00048.png,7
00049.png,8
00050.png,9
00051.png,6
00052.png,0
00053.png,1
00054.png,2
00055.png,4
00056.png,5
00057.png,6
00058.png,5
00059.png,2
00060.png,1
00061.png,3
00062.png,2
00063.png,1
00064.png,4
00065.png,6
00066.png,3
00067.png,8
00068.png,4
00069.png,3
00070.png,1
00071.png,4
00072.png,4
00073.png,2
00074.png,6
00075.png,4
00076.png,4
00077.png,1
00078.png,1
00079.png,1
00080.png,7
00081.png,3
00082.png,1
00083.png,2
00084.png,0
00085.png,4
00086.png,2
00087.png,2
00088.png,5
00089.png,1
00090.png,2
00091.png,9
00092.png,2
00093.png,0
00094.png,4
00095.png,1
00096.png,0
00097.png,3
00098.png,2
00099.png,7
00100.png,2
00101.png,4
00102.png,4
00103.png,6
00104.png,8
00105.png,1
00106.png,7
00107.png,1
00108.png,0
00109.png,3
00110.png,9
00111.png,1
00112.png,3
00113.png,5
00114.png,9
00115.png,3
00116.png,1
00117.png,1
00118.png,1
00119.png,1
00120.png,3
00121.png,7
00122.png,5
00123.png,6
00124.png,2
00125.png,1
00126.png,5
00127.png,1
00128.png,1
00129.png,2
00130.png,4
00131.png,7
00132.png,5
00133.png,3
00134.png,2
00135.png,4
00136.png,3
00137.png,2
00138.png,9
00139.png,5
00140.png,8
00141.png,9
00142.png,5
00143.png,1
00144.png,0
00145.png,5
00146.png,4
00147.png,2
00148.png,4
00149.png,4
00150.png,3
00151.png,1
00152.png,2
00153.png,3
00154.png,8
00155.png,6
00156.png,1
00157.png,5
00158.png,3
00159.png,3
00160.png,3
00161.png,1
00162.png,8
00163.png,9
00164.png,8
00165.png,7
00166.png,3
00167.png,9
00168.png,1
00169.png,3
00170.png,8
00171.png,1
00172.png,9
00173.png,2
00174.png,2
00175.png,2
00176.png,2
00177.png,7
00178.png,4
00179.png,4
00180.png,5
00181.png,6
00182.png,0
00183.png,3
00184.png,1
00185.png,7
00186.png,3
00187.png,5
00188.png,1
00189.png,7
00190.png,5
00191.png,1
00192.png,8
00193.png,1
00194.png,6
00195.png,4
00196.png,1
00197.png,9
00198.png,3
00199.png,3
00200.png,5
00201.png,1
00202.png,7
00203.png,1
00204.png,2
00205.png,1
00206.png,0
00207.png,4
00208.png,4
00209.png,1
00210.png,8
00211.png,3
00212.png,6
00213.png,1
00214.png,2
00215.png,0
00216.png,2
00217.png,1
00218.png,0
00219.png,9
00220.png,5
00221.png,3
00222.png,3
00223.png,5
00224.png,7
00225.png,1
00226.png,0
00227.png,4
00228.png,1
00229.png,4
00230.png,1
00231.png,4
00232.png,5
00233.png,2
00234.png,2
00235.png,3
00236.png,0
00237.png,6
00238.png,3
00239.png,9
00240.png,1
00241.png,8
00242.png,7
00243.png,1
00244.png,3
00245.png,1
00246.png,9
00247.png,3
00248.png,2
00249.png,5
00250.png,1
00251.png,3
00252.png,4
00253.png,8
00254.png,3
00255.png,4
00256.png,2
00257.png,1
00258.png,3
00259.png,2
00260.png,3
00261.png,5
00262.png,1
00263.png,1
00264.png,3
00265.png,5
00266.png,8
00267.png,1
00268.png,7
00269.png,6
00270.png,5
00271.png,6
00272.png,4
00273.png,1
00274.png,0
00275.png,8
00276.png,8
00277.png,1
00278.png,3
00279.png,6
00280.png,8
00281.png,4
00282.png,1
00283.png,7
00284.png,4
00285.png,9
00286.png,8
00287.png,4
00288.png,4
00289.png,9
00290.png,6
00291.png,8
00292.png,2
00293.png,1
00294.png,0
00295.png,4
00296.png,6
00297.png,2
00298.png,8
00299.png,9
00300.png,3
00301.png,9
00302.png,4
00303.png,4
00304.png,1
00305.png,1
00306.png,9
00307.png,5
00308.png,3
00309.png,3
00310.png,2
00311.png,5
00312.png,1
00313.png,8
00314.png,1
00315.png,5
00316.png,3
00317.png,0
00318.png,0
00319.png,4
00320.png,7
00321.png,2
00322.png,8
00323.png,6
00324.png,3
00325.png,3
00326.png,2
00327.png,0
00328.png,7
00329.png,1
00330.png,9
00331.png,2
00332.png,7
00333.png,6
00334.png,5
00335.png,7
00336.png,2
00337.png,9
00338.png,1
00339.png,2
00340.png,0
00341.png,8
00342.png,8
00343.png,5
00344.png,3
00345.png,5
00346.png,6
00347.png,0
00348.png,5
00349.png,1
00350.png,7
00351.png,6
00352.png,7
00353.png,5
00354.png,4
00355.png,1
00356.png,5
00357.png,2
00358.png,8
00359.png,2
00360.png,4
00361.png,2
00362.png,7
00363.png,6
00364.png,4
00365.png,1
00366.png,9
00367.png,2
00368.png,1
00369.png,1
00370.png,1
00371.png,5
00372.png,9
00373.png,5
00374.png,6
00375.png,8
00376.png,5
00377.png,1
00378.png,5
00379.png,8
00380.png,2
00381.png,1
00382.png,2
00383.png,5
00384.png,1
00385.png,7
00386.png,4
00387.png,2
00388.png,3
00389.png,7
00390.png,3
00391.png,4
00392.png,2
00393.png,1
00394.png,2
00395.png,8
00396.png,0
00397.png,0
00398.png,2
00399.png,5
00400.png,6
00401.png,1
00402.png,3
00403.png,0
00404.png,1
00405.png,9
00406.png,4
00407.png,5
00408.png,9
00409.png,2
00410.png,6
00411.png,1
00412.png,5
00413.png,9
00414.png,3
00415.png,1
00416.png,4
00417.png,3
00418.png,1
00419.png,2
00420.png,1
00421.png,3
00422.png,1
00423.png,6
00424.png,2
00425.png,9
00426.png,7
00427.png,2
00428.png,0
00429.png,3
00430.png,1
00431.png,8
00432.png,2
00433.png,3
00434.png,1
00435.png,0
00436.png,5
00437.png,2
00438.png,4
00439.png,1
00440.png,4
00441.png,4
00442.png,9
00443.png,4
00444.png,9
