image_name,label
00000.png,6
00001.png,5
00002.png,4
00003.png,7
00004.png,3
00005.png,6
00006.png,3
00007.png,1
00008.png,0
00009.png,1
00010.png,7
00011.png,0
00012.png,1
00013.png,1
00014.png,7
00015.png,7
00016.png,4
00017.png,8
00018.png,0
00019.png,1
00020.png,4
00021.png,8
00022.png,7
00023.png,4
00024.png,8
00025.png,7
00026.png,3
00027.png,7
00028.png,4
00029.png,1
00030.png,3
00031.png,6
00032.png,7
00033.png,4
00034.png,1
00035.png,3
00036.png,7
00037.png,7
00038.png,4
00039.png,5
00040.png,4
00041.png,2
00042.png,7
00043.png,4
00044.png,1
00045.png,3
00046.png,7
00047.png,7
00048.png,4
00049.png,0
00050.png,6
00051.png,3
00052.png,2
00053.png,0
00054.png,8
00055.png,6
00056.png,6
00057.png,2
00058.png,0
00059.png,8
00060.png,7
00061.png,8
00062.png,2
00063.png,0
00064.png,9
00065.png,0
00066.png,2
00067.png,2
00068.png,0
00069.png,8
00070.png,1
00071.png,2
00072.png,0
00073.png,8
00074.png,3
00075.png,3
00076.png,2
00077.png,8
00078.png,2
00079.png,2
00080.png,0
00081.png,8
00082.png,1
00083.png,4
00084.png,4
00085.png,8
00086.png,9
00087.png,8
00088.png,9
00089.png,6
00090.png,7
00091.png,6
00092.png,1
00093.png,9
00094.png,7
00095.png,0
00096.png,8
00097.png,0
00098.png,4
00099.png,6
00100.png,8
00101.png,0
00102.png,0
00103.png,3
00104.png,0
00105.png,8
00106.png,0
00107.png,9
00108.png,0
00109.png,3
00110.png,8
00111.png,0
00112.png,1
00113.png,2
00114.png,2
00115.png,9
00116.png,0
00117.png,6
00118.png,6
00119.png,5
00120.png,9
00121.png,2
00122.png,0
00123.png,9
00124.png,1
00125.png,4
00126.png,1
00127.png,2
00128.png,7
00129.png,1
00130.png,0
00131.png,9
00132.png,0
00133.png,8
00134.png,0
00135.png,7
00136.png,9
00137.png,1
00138.png,3
00139.png,0
00140.png,4
00141.png,4
00142.png,3
00143.png,5
00144.png,1
00145.png,6
00146.png,8
00147.png,5
00148.png,4
00149.png,4
00150.png,6
00151.png,8
00152.png,4
00153.png,4
00154.png,8
00155.png,6
00156.png,4
00157.png,0
00158.png,2
00159.png,3
00160.png,9
00161.png,8
00162.png,6
00163.png,8
00164.png,9
00165.png,3
00166.png,5
00167.png,6
00168.png,8
00169.png,0
00170.png,2
00171.png,2
00172.png,6
00173.png,8
00174.png,4
00175.png,1
00176.png,0
00177.png,2
00178.png,7
00179.png,1
00180.png,0
00181.png,2
00182.png,2
00183.png,7
00184.png,1
00185.png,0
00186.png,9
00187.png,2
00188.png,7
00189.png,0
00190.png,4
00191.png,8
00192.png,0
00193.png,8
00194.png,7
00195.png,2
00196.png,7
00197.png,1
00198.png,3
00199.png,2
00200.png,7
00201.png,3
00202.png,2
00203.png,2
00204.png,2
00205.png,7
00206.png,1
00207.png,0
00208.png,2
00209.png,2
00210.png,8
00211.png,5
00212.png,4
00213.png,2
00214.png,2
00215.png,7
00216.png,8
00217.png,7
00218.png,0
00219.png,2
00220.png,7
00221.png,1
00222.png,0
00223.png,2
00224.png,6
00225.png,0
00226.png,2
00227.png,7
00228.png,6
00229.png,0
00230.png,8
00231.png,2
00232.png,7
00233.png,1
00234.png,1
00235.png,0
00236.png,1
00237.png,7
00238.png,7
00239.png,6
00240.png,4
00241.png,4
00242.png,6
00243.png,2
00244.png,9
00245.png,1
00246.png,1
00247.png,9
00248.png,0
00249.png,3
00250.png,1
00251.png,1
00252.png,8
00253.png,1
00254.png,0
00255.png,3
00256.png,1
00257.png,6
00258.png,1
00259.png,1
00260.png,7
00261.png,5
00262.png,5
00263.png,3
00264.png,6
00265.png,5
00266.png,0
00267.png,6
00268.png,8
00269.png,8
00270.png,0
00271.png,0
00272.png,0
00273.png,1
00274.png,4
00275.png,9
00276.png,5
00277.png,7
00278.png,0
00279.png,0
00280.png,0
00281.png,1
00282.png,6
00283.png,0
00284.png,1
00285.png,9
00286.png,8
00287.png,6
00288.png,0
00289.png,1
00290.png,9
00291.png,8
00292.png,6
00293.png,8
00294.png,0
00295.png,0
00296.png,9
00297.png,6
00298.png,8
00299.png,5
00300.png,4
00301.png,4
00302.png,9
00303.png,4
00304.png,0
00305.png,8
00306.png,6
00307.png,4
00308.png,8
00309.png,1
00310.png,2
00311.png,1
00312.png,2
00313.png,1
00314.png,2
00315.png,6
00316.png,8
00317.png,0
00318.png,2
00319.png,1
00320.png,3
00321.png,0
00322.png,2
00323.png,3
00324.png,2
00325.png,3
00326.png,5
00327.png,8
00328.png,0
00329.png,2
00330.png,7
00331.png,9
00332.png,0
00333.png,0
00334.png,0
00335.png,0
00336.png,6
00337.png,8
00338.png,9
00339.png,7
00340.png,7
00341.png,9
00342.png,4
00343.png,9
00344.png,1
00345.png,2
00346.png,9
00347.png,4
00348.png,5
00349.png,3
00350.png,8
00351.png,5
00352.png,7
00353.png,1
00354.png,8
00355.png,0
00356.png,1
00357.png,4
00358.png,6
00359.png,5
00360.png,5
00361.png,3
00362.png,2
00363.png,0
00364.png,1
00365.png,0
00366.png,6
00367.png,6
00368.png,6
00369.png,6
00370.png,0
00371.png,9
00372.png,0
00373.png,2
00374.png,6
00375.png,0
00376.png,5
00377.png,5
00378.png,9
00379.png,6
00380.png,1
00381.png,7
00382.png,7
00383.png,7
00384.png,6
00385.png,1
00386.png,8
00387.png,2
00388.png,0
00389.png,6
00390.png,0
00391.png,5
00392.png,2
00393.png,1
00394.png,6
00395.png,1
00396.png,8
00397.png,6
00398.png,6
00399.png,6
00400.png,0
00401.png,9
00402.png,0
00403.png,2
00404.png,6
00405.png,0
00406.png,2
00407.png,5
00408.png,6
00409.png,0
00410.png,9
00411.png,0
00412.png,2
00413.png,6
00414.png,0
00415.png,5
00416.png,2
00417.png,1
00418.png,6
00419.png,0
00420.png,5
00421.png,4
00422.png,6
00423.png,6
00424.png,4
00425.png,7
00426.png,3
00427.png,6
00428.png,1
00429.png,8
00430.png,2
00431.png,1
00432.png,6
00433.png,0
00434.png,9
00435.png,0
00436.png,2
00437.png,6
00438.png,0
00439.png,4
00440.png,3
00441.png,5
00442.png,6
00443.png,0
00444.png,5
00445.png,6
00446.png,1
00447.png,8
00448.png,2
00449.png,0
00450.png,6
00451.png,0
00452.png,9
00453.png,0
00454.png,2
00455.png,6
00456.png,1
00457.png,8
00458.png,0
00459.png,1
00460.png,6
00461.png,0
00462.png,5
00463.png,2
00464.png,2
00465.png,6
00466.png,1
00467.png,7
00468.png,6
00469.png,1
00470.png,6
00471.png,0
00472.png,4
00473.png,7
00474.png,3
00475.png,1
00476.png,8
00477.png,2
00478.png,6
00479.png,0
00480.png,9
00481.png,0
00482.png,2
00483.png,6
00484.png,1
00485.png,7
00486.png,0
00487.png,1
00488.png,6
00489.png,0
00490.png,5
00491.png,2
00492.png,2
00493.png,0
00494.png,9
00495.png,2
00496.png,7
00497.png,6
00498.png,0
00499.png,9
00500.png,0
00501.png,2
00502.png,6
00503.png,1
00504.png,8
00505.png,2
00506.png,1
00507.png,6
00508.png,1
00509.png,9
00510.png,1
00511.png,3
00512.png,6
00513.png,0
00514.png,9
00515.png,0
00516.png,2
00517.png,6
00518.png,1
00519.png,9
00520.png,0
00521.png,0
00522.png,4
00523.png,6
00524.png,2
00525.png,6
00526.png,1
00527.png,8
00528.png,0
00529.png,1
00530.png,4
00531.png,6
00532.png,9
00533.png,9
00534.png,2
00535.png,9
00536.png,7
00537.png,1
00538.png,0
00539.png,2
00540.png,8
00541.png,0
00542.png,7
00543.png,0
00544.png,2
00545.png,9
00546.png,7
00547.png,1
00548.png,0
00549.png,2
00550.png,8
00551.png,2
00552.png,3
00553.png,4
00554.png,2
00555.png,8
00556.png,2
00557.png,1
00558.png,2
00559.png,2
00560.png,8
00561.png,6
00562.png,5
00563.png,8
00564.png,2
00565.png,8
00566.png,7
00567.png,3
00568.png,9
00569.png,2
00570.png,8
00571.png,2
00572.png,1
00573.png,7
00574.png,2
00575.png,8
00576.png,2
00577.png,7
00578.png,2
00579.png,0
00580.png,0
00581.png,9
00582.png,2
00583.png,2
00584.png,8
00585.png,3
00586.png,6
00587.png,2
00588.png,8
00589.png,3
00590.png,0
00591.png,3
00592.png,2
00593.png,8
00594.png,6
00595.png,0
00596.png,1
00597.png,2
00598.png,8
00599.png,1
00600.png,0
00601.png,2
00602.png,8
00603.png,2
00604.png,6
00605.png,5
00606.png,2
00607.png,8
00608.png,2
00609.png,6
00610.png,2
00611.png,8
00612.png,4
00613.png,3
00614.png,2
00615.png,8
00616.png,2
00617.png,3
00618.png,2
00619.png,8
00620.png,1
00621.png,1
00622.png,2
00623.png,3
00624.png,2
00625.png,2
00626.png,6
00627.png,2
00628.png,1
00629.png,2
00630.png,2
00631.png,2
00632.png,1
00633.png,1
00634.png,6
00635.png,2
00636.png,7
00637.png,0
00638.png,2
00639.png,2
00640.png,4
00641.png,0
00642.png,1
00643.png,2
00644.png,3
00645.png,4
00646.png,5
00647.png,2
00648.png,3
00649.png,0
00650.png,6
00651.png,0
00652.png,9
00653.png,3
00654.png,0
00655.png,0
00656.png,3
00657.png,0
00658.png,0
00659.png,8
00660.png,8
00661.png,3
00662.png,0
00663.png,0
00664.png,8
00665.png,3
00666.png,3
00667.png,0
00668.png,2
00669.png,4
00670.png,0
00671.png,3
00672.png,0
00673.png,8
00674.png,1
00675.png,5
00676.png,3
00677.png,0
00678.png,2
00679.png,7
00680.png,4
00681.png,3
00682.png,0
00683.png,8
00684.png,0
00685.png,9
00686.png,3
00687.png,0
00688.png,0
00689.png,3
00690.png,0
00691.png,2
00692.png,3
00693.png,0
00694.png,2
00695.png,4
00696.png,7
00697.png,8
00698.png,1
00699.png,1
00700.png,1
00701.png,1
00702.png,2
